Feature,Importance
BS_TOT_LIAB2,0.11691914657039844
VIX_PE_interact,0.11520332350881259
CALL_IMP_VOL_30D,0.0929457513360951
PUT_IMP_VOL_30D,0.0882365063512972
USDJPY Curncy,0.04298924001230228
GT2 Govt,0.0411653725995029
GT10 Govt,0.04090779619869405
RTY Index,0.040695227976843315
BCOM Index,0.040625084217254845
CL1 Comdty,0.039269274844580856
DXY Curncy,0.038089062366241176
CPURNSA Index,0.037263001568191484
INDU Index,0.03542097187674111
NDX Index,0.03507071758046701
EURUSD Curncy,0.03470783469390476
XAU Curncy,0.03459045298183723
SPX Index,0.033057026405499346
VIX Index,0.032253309325330125
EPUCGLCP Index,0.030323191900622964
EPUCGLOB Index,0.030267707685383193
